whaling_bay,year,hunts,whales,skinn_values,latitude,longitude
Svínoy,2015,0,0,0,62.2786,-6.3339
Hvannasund,2015,1,22,197,62.2909,-6.5116
Haraldssund,2015,0,0,0,62.2725,-6.603
Viðvík,2015,0,0,0,62.3127,-6.4667
Klaksvík,2015,0,0,0,62.2265,-6.589
Funningsfjørður,2015,0,0,0,62.2366,-6.9253
Fuglafjørður,2015,1,11,100,62.244,-6.8139
Gøta,2015,0,0,0,62.1989,-6.736
Norðskála,2015,0,0,0,62.2145,-7.0054
Oyrarbakka,2015,0,0,0,62.2044,-6.9997
Tjørnuvik,2015,0,0,0,62.289,-7.1455
Hvalvík,2015,0,0,0,62.1878,-7.0328
Leynar,2015,0,0,0,62.1155,-7.0411
Vestmanna,2015,0,0,0,62.1564,-7.1664
Tórshavn,2015,1,142,1009,62.0097,-6.7716
Sandavágur,2015,1,61,395,62.0532,-7.1474
Miðvágur,2015,1,154,1103,62.0498,-7.1939
Bøur,2015,1,111,755,62.0865,-7.369
Sandur,2015,0,0,0,61.8327,-6.8153
Húsavík,2015,0,0,0,61.8082,-6.6743
Hvalba,2015,0,0,0,61.6003,-6.953
Trongisvágur,2015,0,0,0,61.5628,-6.84
Øravík,2015,0,0,0,61.5341,-6.8099
Fámjin,2015,0,0,0,61.5256,-6.8807
Vágur,2015,0,0,0,61.4732,-6.8118
Svínoy,2014,0,0,0,62.2786,-6.3339
Hvannasund,2014,0,0,0,62.2909,-6.5116
Haraldssund,2014,0,0,0,62.2725,-6.603
Viðvík,2014,0,0,0,62.3127,-6.4667
Klaksvík,2014,0,0,0,62.2265,-6.589
Funningsfjørður,2014,0,0,0,62.2366,-6.9253
Fuglafjørður,2014,1,13,121,62.244,-6.8139
Gøta,2014,0,0,0,62.1989,-6.736
Norðskála,2014,0,0,0,62.2145,-7.0054
Oyrarbakka,2014,0,0,0,62.2044,-6.9997
Tjørnuvik,2014,0,0,0,62.289,-7.1455
Hvalvík,2014,0,0,0,62.1878,-7.0328
Leynar,2014,0,0,0,62.1155,-7.0411
Vestmanna,2014,0,0,0,62.1564,-7.1664
Tórshavn,2014,0,0,0,62.0097,-6.7716
Sandavágur,2014,0,0,0,62.0532,-7.1474
Miðvágur,2014,0,0,0,62.0498,-7.1939
Bøur,2014,0,0,0,62.0865,-7.369
Sandur,2014,1,35,220,61.8327,-6.8153
Húsavík,2014,0,0,0,61.8082,-6.6743
Hvalba,2014,0,0,0,61.6003,-6.953
Trongisvágur,2014,0,0,0,61.5628,-6.84
Øravík,2014,0,0,0,61.5341,-6.8099
Fámjin,2014,0,0,0,61.5256,-6.8807
Vágur,2014,0,0,0,61.4732,-6.8118
Svínoy,2013,0,0,0,62.2786,-6.3339
Hvannasund,2013,1,86,656,62.2909,-6.5116
Haraldssund,2013,0,0,0,62.2725,-6.603
Viðvík,2013,1,125,903,62.3127,-6.4667
Klaksvík,2013,0,0,0,62.2265,-6.589
Funningsfjørður,2013,0,0,0,62.2366,-6.9253
Fuglafjørður,2013,1,267,1891,62.244,-6.8139
Gøta,2013,0,0,0,62.1989,-6.736
Norðskála,2013,0,0,0,62.2145,-7.0054
Oyrarbakka,2013,0,0,0,62.2044,-6.9997
Tjørnuvik,2013,0,0,0,62.289,-7.1455
Hvalvík,2013,2,171,1433,62.1878,-7.0328
Leynar,2013,1,21,137,62.1155,-7.0411
Vestmanna,2013,1,34,203,62.1564,-7.1664
Tórshavn,2013,0,0,0,62.0097,-6.7716
Sandavágur,2013,3,265,1962,62.0532,-7.1474
Miðvágur,2013,0,0,0,62.0498,-7.1939
Bøur,2013,0,0,0,62.0865,-7.369
Sandur,2013,0,0,0,61.8327,-6.8153
Húsavík,2013,1,135,1117,61.8082,-6.6743
Hvalba,2013,0,0,0,61.6003,-6.953
Trongisvágur,2013,0,0,0,61.5628,-6.84
Øravík,2013,0,0,0,61.5341,-6.8099
Fámjin,2013,0,0,0,61.5256,-6.8807
Vágur,2013,0,0,0,61.4732,-6.8118
Svínoy,2012,0,0,0,62.2786,-6.3339
Hvannasund,2012,1,32,221,62.2909,-6.5116
Haraldssund,2012,0,0,0,62.2725,-6.603
Viðvík,2012,0,0,0,62.3127,-6.4667
Klaksvík,2012,1,42,278,62.2265,-6.589
Funningsfjørður,2012,0,0,0,62.2366,-6.9253
Fuglafjørður,2012,1,40,352,62.244,-6.8139
Gøta,2012,0,0,0,62.1989,-6.736
Norðskála,2012,0,0,0,62.2145,-7.0054
Oyrarbakka,2012,0,0,0,62.2044,-6.9997
Tjørnuvik,2012,1,61,445,62.289,-7.1455
Hvalvík,2012,0,0,0,62.1878,-7.0328
Leynar,2012,0,0,0,62.1155,-7.0411
Vestmanna,2012,1,27,218,62.1564,-7.1664
Tórshavn,2012,0,0,0,62.0097,-6.7716
Sandavágur,2012,1,21,138,62.0532,-7.1474
Miðvágur,2012,0,0,0,62.0498,-7.1939
Bøur,2012,0,0,0,62.0865,-7.369
Sandur,2012,1,125,1123,61.8327,-6.8153
Húsavík,2012,0,0,0,61.8082,-6.6743
Hvalba,2012,3,108,529,61.6003,-6.953
Trongisvágur,2012,1,62,441,61.5628,-6.84
Øravík,2012,0,0,0,61.5341,-6.8099
Fámjin,2012,0,0,0,61.5256,-6.8807
Vágur,2012,1,195,1216.5,61.4732,-6.8118
Svínoy,2011,0,0,0,62.2786,-6.3339
Hvannasund,2011,1,28,234,62.2909,-6.5116
Haraldssund,2011,0,0,0,62.2725,-6.603
Viðvík,2011,0,0,0,62.3127,-6.4667
Klaksvík,2011,0,0,0,62.2265,-6.589
Funningsfjørður,2011,1,169,972,62.2366,-6.9253
Fuglafjørður,2011,0,0,0,62.244,-6.8139
Gøta,2011,1,204,1240,62.1989,-6.736
Norðskála,2011,0,0,0,62.2145,-7.0054
Oyrarbakka,2011,0,0,0,62.2044,-6.9997
Tjørnuvik,2011,0,0,0,62.289,-7.1455
Hvalvík,2011,0,0,0,62.1878,-7.0328
Leynar,2011,0,0,0,62.1155,-7.0411
Vestmanna,2011,3,174,1113,62.1564,-7.1664
Tórshavn,2011,1,81,686,62.0097,-6.7716
Sandavágur,2011,1,49,243.75,62.0532,-7.1474
Miðvágur,2011,0,0,0,62.0498,-7.1939
Bøur,2011,0,0,0,62.0865,-7.369
Sandur,2011,0,0,0,61.8327,-6.8153
Húsavík,2011,0,0,0,61.8082,-6.6743
Hvalba,2011,0,0,0,61.6003,-6.953
Trongisvágur,2011,1,21,194,61.5628,-6.84
Øravík,2011,0,0,0,61.5341,-6.8099
Fámjin,2011,0,0,0,61.5256,-6.8807
Vágur,2011,0,0,0,61.4732,-6.8118
Svínoy,2010,0,0,0,62.2786,-6.3339
Hvannasund,2010,1,33,234,62.2909,-6.5116
Haraldssund,2010,0,0,0,62.2725,-6.603
Viðvík,2010,1,62,507,62.3127,-6.4667
Klaksvík,2010,1,228,1945,62.2265,-6.589
Funningsfjørður,2010,0,0,0,62.2366,-6.9253
Fuglafjørður,2010,0,0,0,62.244,-6.8139
Gøta,2010,0,0,0,62.1989,-6.736
Norðskála,2010,0,0,0,62.2145,-7.0054
Oyrarbakka,2010,0,0,0,62.2044,-6.9997
Tjørnuvik,2010,0,0,0,62.289,-7.1455
Hvalvík,2010,0,0,0,62.1878,-7.0328
Leynar,2010,1,73,504,62.1155,-7.0411
Vestmanna,2010,2,80,490,62.1564,-7.1664
Tórshavn,2010,2,125,902,62.0097,-6.7716
Sandavágur,2010,1,67,447,62.0532,-7.1474
Miðvágur,2010,1,103,731,62.0498,-7.1939
Bøur,2010,0,0,0,62.0865,-7.369
Sandur,2010,1,69,559,61.8327,-6.8153
Húsavík,2010,2,193,1258,61.8082,-6.6743
Hvalba,2010,0,0,0,61.6003,-6.953
Trongisvágur,2010,0,0,0,61.5628,-6.84
Øravík,2010,0,0,0,61.5341,-6.8099
Fámjin,2010,0,0,0,61.5256,-6.8807
Vágur,2010,1,74,431,61.4732,-6.8118
Svínoy,2009,0,0,0,62.2786,-6.3339
Hvannasund,2009,1,99,1093,62.2909,-6.5116
Haraldssund,2009,0,0,0,62.2725,-6.603
Viðvík,2009,0,0,0,62.3127,-6.4667
Klaksvík,2009,0,0,0,62.2265,-6.589
Funningsfjørður,2009,0,0,0,62.2366,-6.9253
Fuglafjørður,2009,0,0,0,62.244,-6.8139
Gøta,2009,1,23,177,62.1989,-6.736
Norðskála,2009,0,0,0,62.2145,-7.0054
Oyrarbakka,2009,0,0,0,62.2044,-6.9997
Tjørnuvik,2009,0,0,0,62.289,-7.1455
Hvalvík,2009,1,188,1704,62.1878,-7.0328
Leynar,2009,0,0,0,62.1155,-7.0411
Vestmanna,2009,0,0,0,62.1564,-7.1664
Tórshavn,2009,0,0,0,62.0097,-6.7716
Sandavágur,2009,0,0,0,62.0532,-7.1474
Miðvágur,2009,0,0,0,62.0498,-7.1939
Bøur,2009,0,0,0,62.0865,-7.369
Sandur,2009,0,0,0,61.8327,-6.8153
Húsavík,2009,0,0,0,61.8082,-6.6743
Hvalba,2009,0,0,0,61.6003,-6.953
Trongisvágur,2009,0,0,0,61.5628,-6.84
Øravík,2009,0,0,0,61.5341,-6.8099
Fámjin,2009,0,0,0,61.5256,-6.8807
Vágur,2009,0,0,0,61.4732,-6.8118
Svínoy,2008,0,0,0,62.2786,-6.3339
Hvannasund,2008,0,0,0,62.2909,-6.5116
Haraldssund,2008,0,0,0,62.2725,-6.603
Viðvík,2008,0,0,0,62.3127,-6.4667
Klaksvík,2008,0,0,0,62.2265,-6.589
Funningsfjørður,2008,0,0,0,62.2366,-6.9253
Fuglafjørður,2008,0,0,0,62.244,-6.8139
Gøta,2008,0,0,0,62.1989,-6.736
Norðskála,2008,0,0,0,62.2145,-7.0054
Oyrarbakka,2008,0,0,0,62.2044,-6.9997
Tjørnuvik,2008,0,0,0,62.289,-7.1455
Hvalvík,2008,0,0,0,62.1878,-7.0328
Leynar,2008,0,0,0,62.1155,-7.0411
Vestmanna,2008,0,0,0,62.1564,-7.1664
Tórshavn,2008,0,0,0,62.0097,-6.7716
Sandavágur,2008,0,0,0,62.0532,-7.1474
Miðvágur,2008,0,0,0,62.0498,-7.1939
Bøur,2008,0,0,0,62.0865,-7.369
Sandur,2008,0,0,0,61.8327,-6.8153
Húsavík,2008,0,0,0,61.8082,-6.6743
Hvalba,2008,0,0,0,61.6003,-6.953
Trongisvágur,2008,0,0,0,61.5628,-6.84
Øravík,2008,0,0,0,61.5341,-6.8099
Fámjin,2008,0,0,0,61.5256,-6.8807
Vágur,2008,0,0,0,61.4732,-6.8118
Svínoy,2007,0,0,0,62.2786,-6.3339
Hvannasund,2007,1,58,432,62.2909,-6.5116
Haraldssund,2007,1,2,11,62.2725,-6.603
Viðvík,2007,0,0,0,62.3127,-6.4667
Klaksvík,2007,0,0,0,62.2265,-6.589
Funningsfjørður,2007,0,0,0,62.2366,-6.9253
Fuglafjørður,2007,0,0,0,62.244,-6.8139
Gøta,2007,1,142,1358,62.1989,-6.736
Norðskála,2007,1,25,201,62.2145,-7.0054
Oyrarbakka,2007,1,1,3,62.2044,-6.9997
